date,open_time,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,ema_50,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid
2020-06-16,1592265600000,230.86,236.0,228.7,235.3,499194.66758,237.91950000000003,217.7916,182.77344999999997,233.0235236170955,218.31355390945436,53.84388711951893,5.890236295083383,8.338560636984397,-2.4483243419010137,253.92186916812472,221.91713083187534,237.91950000000003
2020-06-17,1592352000000,235.31,237.3,227.65,233.82,478187.2917,238.6,218.54320000000004,183.1857,233.09937851070544,218.9216498345738,52.81161077878101,5.288526402656203,7.728553790118759,-2.440027387462556,252.55920484816224,224.64079515183775,238.6
2020-06-18,1592438400000,233.82,234.65,227.93,231.27,334347.79917,239.12999999999997,218.8614,183.5884,232.92515198587634,219.40589886066894,50.997468537935994,4.55341436269012,7.093525904633031,-2.5401115419429114,250.96995776989777,227.29004223010216,239.12999999999997
2020-06-19,1592524800000,231.26,231.95,226.74,229.0,397284.59808,238.397,219.3198,183.99015,232.55132798722144,219.78213812103485,49.371585297720856,3.7444984981845835,6.423720423343342,-2.6792219251587586,250.82497827456072,225.96902172543926,238.397
2020-06-20,1592611200000,229.0,230.85,225.62,228.89,303704.98826,238.263,219.65720000000002,184.39875,232.20263008367655,220.13930917511192,49.28957897170253,3.0592852311425247,5.750833384903179,-2.691548153760654,251.03554258137166,225.49045741862835,238.263
2020-06-21,1592697600000,228.88,231.49,227.11,228.04,256305.23734,237.25349999999997,219.94,184.81205000000003,231.8061891233264,220.44914018785263,48.61757094029977,2.4197673127347628,5.0846201704694955,-2.664852857734733,249.90637362589771,224.60062637410223,237.25349999999997
2020-06-22,1592784000000,228.03,246.89,227.51,243.13,749030.11114,237.5245,220.6054,185.2872,232.88464730205723,221.33858567068194,59.241643265877656,3.0949054984524764,4.686677236066092,-1.591771737613616,250.43443489499236,224.6145651050076,237.5245
2020-06-23,1592870400000,243.11,244.87,240.75,243.14,442296.31477,237.45550000000003,221.3386,185.76065,233.86134755900417,222.1935430953611,59.247656725742665,3.5893880599298598,4.467219400838846,-0.877831340908986,250.22917366864138,224.68182633135868,237.45550000000003
2020-06-24,1592956800000,243.15,249.24,231.07,234.58,921634.0534,237.02400000000003,221.9244,186.19785,233.92979064862283,222.67928650338615,52.154235036469316,3.2530494621138075,4.224385413093838,-0.9713359509800306,249.57202040135957,224.4759795986405,237.02400000000003
2020-06-25,1593043200000,234.57,235.39,227.56,232.5,613748.59348,236.64750000000004,222.595,186.60815,233.79362011065874,223.0644125228612,50.56988612643299,2.786538601008772,3.9368160506768253,-1.1502774496680535,249.26383524415593,224.03116475584415,236.64750000000004
2020-06-26,1593129600000,232.49,233.61,227.75,229.64,628340.07007,236.03249999999997,222.9478,187.01945,233.39803724297695,223.32227869843527,48.39302175069266,2.161135064803858,3.5816798535022323,-1.4205447886983742,248.755625205425,223.30937479457495,236.03249999999997
2020-06-27,1593216000000,229.66,231.42,216.0,220.94,645950.61438,234.85150000000004,223.1404,187.39635,232.2115575055506,223.228856004379,42.41211260532472,0.9525011254432911,3.055844107890444,-2.103342982447153,248.53769490555746,221.16530509444263,234.85150000000004
2020-06-28,1593302400000,220.94,227.96,218.32,224.93,444766.56881,233.77799999999996,223.43760000000003,187.80405000000002,231.5180758383553,223.29556753361902,45.72511465956534,0.3130015874776859,2.5072756038078925,-2.1942740163302066,247.03379058347295,220.52220941652698,233.77799999999996
2020-06-29,1593388800000,224.89,229.96,221.26,227.93,597915.52242,232.98449999999997,224.24540000000002,188.21935000000002,231.17635432994052,223.47730998328103,48.14084809834614,0.04771845559602639,2.0153641741655193,-1.9676457185694929,245.631600023044,220.33739997695594,232.98449999999997
2020-06-30,1593475200000,227.98,228.7,222.91,225.6,415036.02977,231.87550000000002,225.0428,188.62335,230.6452729651843,223.56055272903473,46.41298646978695,-0.3465371999305944,1.5429838993462965,-1.889521099276891,242.9278490260155,220.82315097398453,231.87550000000002
2020-07-01,1593561600000,225.59,232.71,224.16,230.99,517351.58865,231.8995,225.8674,189.06935,230.67810411135721,223.8519036024059,50.81122480383331,-0.22150630668298277,1.1900858581404408,-1.4115921648234235,242.9419643532531,220.85703564674688,231.8995
2020-07-02,1593648000000,230.99,232.01,222.87,226.46,592485.91115,231.34500000000003,226.405,189.48934999999997,230.27637991027558,223.95418189250765,47.29762225013256,-0.48239086260940667,0.8555905139904714,-1.337981376599878,242.31031531661807,220.37968468338198,231.34500000000003
2020-07-03,1593734400000,226.46,228.13,223.97,224.87,314578.5004,230.683,226.8366,189.95005,229.76148658548743,223.99009632809558,46.092835989543524,-0.8081278695306082,0.5228468372862555,-1.3309747068168636,241.5327577849853,219.83324221501468,230.683
2020-07-04,1593820800000,224.86,230.71,224.43,229.17,307726.46593,230.55300000000003,227.52280000000002,190.48649999999998,229.7051545297267,224.19322980542518,49.81583894290791,-0.7111055488046816,0.27605636006806805,-0.9871619088727497,241.40984871373126,219.6961512862688,230.55300000000003
2020-07-05,1593907200000,229.24,229.85,223.05,227.56,355747.12006,230.388,228.065,190.96039999999996,229.50085409832417,224.325260009134,48.46616864957571,-0.755420191554407,0.06976104974357306,-0.82518124129798,241.3212073973215,219.4547926026785,230.388
2020-07-06,1593993600000,227.54,242.0,226.93,241.6,864817.507,230.70299999999997,228.757,191.52790000000002,230.65315370800758,225.00270079308953,58.91886989365412,0.338469136109552,0.12350266701676885,0.21496646909278314,242.5120797267547,218.89392027324524,230.70299999999997
2020-07-07,1594080000000,241.6,243.77,234.4,239.39,600424.97209,230.9815,229.2466,192.0839,231.48523430724495,225.56690860512523,56.96039090683947,1.0153514397082688,0.3018724215550689,0.7134790181531999,243.32223624192875,218.64076375807127,230.9815
2020-07-08,1594166400000,239.39,248.88,237.78,246.95,958185.83708,231.76550000000003,229.894,192.6837,232.95806913512638,226.40546120884582,61.65584775405314,2.137178299340178,0.6689335971120907,1.4682447022280873,245.93649498951518,217.59450501048488,231.76550000000003
2020-07-09,1594252800000,246.94,247.9,237.88,241.98,647641.58291,232.4145,230.53400000000002,193.23315000000002,233.8173006460667,227.01622743594993,57.23514230447904,2.595279932392657,1.054202864168204,1.541077068224453,247.19522728227108,217.63377271772893,232.4145
2020-07-10,1594339200000,241.97,242.16,235.72,241.26,455025.12385,233.033,231.38440000000003,193.80044999999998,234.52612915596512,227.57480675218721,56.601987686252926,2.8671797311387195,1.4167982375623072,1.4503814935764123,248.20217545527376,217.8638245447262,233.033
2020-07-11,1594425600000,241.27,241.67,237.54,239.19,294476.00626,233.59050000000002,232.021,194.35765,234.9703073315875,228.03030452661125,54.72753103929196,2.882404020969517,1.7099193942437494,1.1724846267257676,248.80419051193329,218.37680948806675,233.59050000000002
2020-07-12,1594512000000,239.19,244.0,236.52,242.79,469315.1172,233.57350000000002,232.7448,194.94615000000002,235.7150399666744,228.60911611380297,57.371524392848265,3.1486634614811635,1.9976682076912324,1.150995253789931,248.7452161518692,218.40178384813086,233.57350000000002
2020-07-13,1594598400000,242.76,245.33,237.33,239.5,604093.04245,233.3915,233.5368,195.51575,236.07551235080064,229.0362095995362,54.25314345851505,3.058938938104461,2.2099223537738784,0.8490165843305828,248.1823610632676,218.60063893673242,233.3915
2020-07-14,1594684800000,239.5,242.09,237.0,240.44,426320.89188,233.68449999999999,234.26260000000002,196.0865,236.49117784120057,229.48341706622105,55.00564508977938,3.0287679988423406,2.373691482787571,0.6550765160547698,248.78681568312916,218.5821843168708,233.68449999999999
2020-07-15,1594771200000,240.45,241.45,236.83,238.61,368350.66518,233.98999999999995,235.01699999999997,196.639,236.69297042775287,229.84132227931042,53.17191092492118,2.824631017952129,2.4638793898204825,0.3607516281316463,249.23067321324396,218.74932678675594,233.98999999999995
2020-07-16,1594857600000,238.59,239.39,230.02,233.57,587161.73894,234.18650000000002,235.52259999999998,197.13505,236.3955446727288,229.98754493502375,48.38752049930153,2.23045382759139,2.417194277374664,-0.1867404497832741,249.29856309518647,219.07443690481358,234.18650000000002
2020-07-17,1594944000000,233.58,234.84,231.65,232.67,325600.21444,234.773,235.77179999999996,197.64045000000002,236.04073089437367,230.09273925129733,47.56447525414568,1.667717238817744,2.2672988696632803,-0.5995816308455364,248.6425538498145,220.9034461501855,234.773
2020-07-18,1595030400000,232.66,236.8,232.32,235.67,341356.6182,235.31000000000003,236.0718,198.173,236.00542319014758,230.31145535908962,50.58192204625451,1.4471376636951447,2.1032666284696533,-0.6561289647745085,248.42468794874327,222.1953120512568,235.31000000000003
2020-07-19,1595116800000,235.67,239.92,233.28,239.11,348803.52073,235.869,235.9808,198.71470000000002,236.30109717203828,230.65649632539984,53.86066382961051,1.532243265366077,1.989061955848938,-0.45681869048286106,248.62596813482418,223.11203186517582,235.869
2020-07-20,1595203200000,239.12,239.72,234.05,236.01,396657.91938,236.3895,236.06959999999998,199.2588,236.27337363184418,230.8664376459724,50.60244110870267,1.3341665343063767,1.8580828715404258,-0.5239163372340492,248.24572448306907,224.53327551693093,236.3895
2020-07-21,1595289600000,236.0,246.66,235.57,245.59,637462.08074,237.11949999999996,236.0168,199.815,237.16067138119234,231.44383224809116,58.880767803894074,1.9279905594384275,1.8720644091200263,0.0559261503184012,249.34804770579626,224.89095229420366,237.11949999999996
2020-07-22,1595376000000,245.53,269.61,241.51,263.74,718417.68296,238.9835,236.53740000000002,200.46269999999996,239.692036011555,232.71034863051895,69.35806142573884,3.819129148252017,2.2614773569464246,1.5576517913055925,254.9410878814112,223.0259121185888,238.9835
2020-07-23,1595462400000,263.75,279.98,259.7,275.3,1068774.57879,241.50500000000002,237.153,201.16235,243.0832706771212,234.38053103716527,73.91667660664982,6.179432838652957,3.0450684532877315,3.1343643853652257,262.79237231301687,220.21762768698318,241.50500000000002
2020-07-24,1595548800000,275.31,287.34,266.0,279.15,926033.06692,244.004,237.8718,201.83735000000001,246.51819727930013,236.1361964866882,75.23794474388018,8.265375241802928,4.089129810990771,4.176245430812157,270.10325240295265,217.90474759704733,244.004
2020-07-25,1595635200000,279.15,308.94,279.09,305.26,1058927.30554,247.88900000000004,239.1764,202.64965,252.11265468127152,238.8469338793671,81.92502535359054,11.888317292797353,5.648967307352088,6.239349985445266,284.18192707943365,211.59607292056646,247.88900000000004
2020-07-26,1595721600000,305.31,318.75,299.0,311.0,1270368.753,251.359,240.55759999999998,203.50105,257.7209732830552,241.6764658840978,83.01120615053952,15.04921699323117,7.529017244527904,7.5201997487032655,296.7209037959512,205.99709620404883,251.359
2020-07-27,1595808000000,311.02,333.31,310.78,321.93,1636122.34727,255.48599999999996,242.105,204.422,263.836118684669,244.8236633004077,84.87505687495435,18.226113146069792,9.668436424836283,8.55767672123351,309.8640802897011,201.10791971029877,255.48599999999996
2020-07-28,1595894400000,321.95,326.8,305.86,316.77,1093231.55578,258.977,243.51239999999999,205.28165,268.87744071470047,247.6450882690192,80.39100858694607,20.095805423694742,11.753910224607976,8.341895199086766,319.34918203770036,198.60481796229956,258.977
2020-07-29,1595980800000,316.77,325.0,312.38,317.71,792802.32148,262.7635,244.9906,206.15829999999997,273.52816064663375,250.39273186631257,80.59216327919458,21.40663777313091,13.684455734312564,7.722182038818346,327.72182118361195,197.8051788163881,262.7635
